fullname,postQ2Choice,explanation2,Key word identifiability,Conciseness,Straightforwardness,Lower cognitive load,Less time to read,Quick skimming,Depends on content,Presented in chunks,Easier navigation / maneuvering,Concepts connected / flowed better,Easy to find details / information,Clear key information / main ideas,Better structure / organization,Easier to understand,Putting information together / digestable,Easier memorization / Recall,Felt more natural,One page,Multiple pages,Readability,Equal,Linearity,Initial learning of content,Final review of content
3,H,More information in each section that is easy to reference,0,0,0,0,0,0,0,H,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0
5,H,"As a learner, I tend to need more context before I frame a situation in my head. I'm a visual learner, so when I read a paragraph it's stuff that I'm imagining that helps me remember. The smaller text blocks deprive from of that understanding. Also I believe there is some merit to a Horizontal flowing chart over a vertical one as that seemed to make me more comfortable.",0,0,0,0,0,0,0,H,0,0,0,0,0,H,0,0,H,0,0,0,0,0,0,0
7,H,The second passage was much easier to comprehend and took much less time to read.,0,0,0,0,H,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0
9,K,"In the passage 1, the necessary knowledge is easily listed.",0,0,0,0,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0,0,0,0,0,0
11,K,More so the first because it seemed quicker to find what I was looking for versus reading a whole paragraph to find one line of information.,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Both,"Both of them taught me what I needed to know in order to answer the questions. The navigation of each was different, but I learned the same amount from both.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0
15,K,"When reading Passage 1, it was easier to find the information required for the questions asked during that task. When reading Passage 2, I felt as though I had to read through the entire paragraph a few times to find the exact right piece of information I was looking for.",0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Both,I think my reference might be different depending on the material or discipline.,0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,H,"I feel like dividing information into concise chunks of text is a lot more beneficial for my academic learning than having a huge web of information. It was much easier to follow Passage 2. In addition, I think Passage 2 did a better job of explaining the information because the explanation was included in the same chunk of text while in Passage 1 I had to follow the arrows and look for the explanation. Passage 1 also didn't go into as much depth as Passage 2.",0,H,0,0,0,0,0,H,0,H,H,0,H,0,0,0,0,0,0,0,0,0,0,0
23,H,It's more clear and less energy-consuming.,0,0,0,H,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0
25,K,I found passage 2 more helpful because it was easier to maneuver. Passage 1 seemed a bit overwhelming.,0,0,0,K,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,H,,,,,,,,,,,,,,,,,,,,,,,0,0,0
29,H,"For learning purposes, it's generally easier for me to remember things if they're easy to interpret. In this case, Passage 1 was just more cohesive to me.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,H,H,0,0,0,0,0,0,0
31,H,"The representation of passage 2 allows me to comprehend and process information with grouped, connected concepts in a more linear way.",0,0,0,0,0,0,0,0,0,H,0,0,H,H,0,0,0,0,0,0,0,H,0,0
33,H,"I'm used to passages as opposed to webs of information. In passage one, sentences/facts were broken up over different circles and I had to keep going between different pages to find the information. There was a much clearer format in passage 2",0,0,0,0,0,0,0,0,H,0,0,0,H,0,0,0,H,H,0,0,0,0,0,0
39,Both,I think both presented information in an engaging way. Sort of made reading like a game.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0
41,K,"Since it's easier to read, it's a lot easier to digest the information that one might need for their academic learning.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,K,0,0,0,0
43,H,"Passage 1 included more detailed descriptions of important concepts, which made it easier for me to understand the topic.",0,0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0
45,H,It was easier to navigate and remember what I was reading because I could take in a chunk of information at a time rather than having to move around the page a lot just to read a few words at a time,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0
49,H,,,,,,,,,,,,,,,,,,,,,,,0,0,0
51,H,"Passage 2 more clearly explained the ideas it was trying to convey. It was easier to follow and see how different concepts connected. Also, the more linear organization of passage 2 made it easier to see the progression of ides and it was easier to refer back to it when I couldn't remember something.",0,0,0,0,0,0,0,0,0,H,0,H,H,0,0,0,0,0,0,0,0,H,0,0
53,K,Because it's good for brevity and more concise as opposed to reading long paragraphs in a textbook,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,H,"Because it explains the topic in a summarized way, and clearly delineates the subtopics and their purposes to the main study.",0,0,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,0,0,0,0,0
57,H,It was easier for me to follow and find details.,0,0,0,0,0,0,0,0,0,H,H,0,0,0,0,0,0,0,0,0,0,0,0,0
59,H,This format separates information into categories with headers that can be easily located when answering questions,0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0,0
61,Both,"Passage 1 and Passage 2, while they use a different set of learning skills, both explain the context as well as various aspects of the subjects.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0
63,H,"It was easier to red, and I wasn't reading all over the place",0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,H,0,0,0,0
65,H,It was easier for me to retain information from Passage 1 than from Passage 2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0
67,H,The first passage was the most helpful for an academic learning because I liked the formatting of mini passages. I also prefer my information laid all out from the start on a single page. This makes remembering the information easier and more effectively.,0,0,0,0,0,0,0,H,0,0,0,0,H,0,0,H,0,H,0,0,0,0,0,0
69,H,"Easier/quicker to read, more condensed, more organized and accessible. It was much easier to visualize the information when it was all contained within one tree.",0,0,0,0,H,0,0,0,0,0,0,0,H,0,0,0,0,H,0,H,0,0,0,0
71,K,I found that knowledge representation 2 is best for me because I have adhd and reading large blocks of information can be overwhelming and anxiety provoking. The outlined format allowed for me to locate key information with ease; once I realized how it worked.,,0,0,K,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0,0,0,0,0,0
73,Both,"Personally, I love reading so I don't mind passage 1, especially since all the information was connected to one another. However, reading less and still being able to find the answer by posing the question as the topic category was definitely beneficial and something I would enjoy when studying.",0,0,0,0,0,0,0,0,0,H,0,0,K,0,0,0,0,0,0,0,0,0,0,0
77,Both,"I think a combination of the two would be the best. Although the shorter phrases in passage two made the content easier to navigate, often it was more difficult to grasp understanding from each individual box/node. Perhaps having the formate of several pages and many smaller boxes/nodes but some more descriptive boxes lower on the hierarchy that contain a sentence or two of descriptive information.",0,0,0,0,0,0,0,0,K,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0
79,K,"I am able to seek out the specific information I want to learn about, without getting as tired out from digging through information I am not interested in.",0,0,0,K,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
81,H,Was organized clearer for me and written out more,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0
83,K,I feel the first format (The one about owls) was probably the most useful to me considering I have taken biology.,0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,H,"more explanations, greater detail",,,,,,,,,,,,,,,,,,,,,,,0,0
87,H,"Again, I feel like the first one was easier to find and retain the information than the second one. While the second one was more concise, it had too many links to click on for more information.",0,K,0,0,0,0,0,0,H,0,H,0,0,0,0,H,0,0,0,0,0,0,0,0
89,H,"It's easier to organize concepts in chunks, rather than in very granular words.",0,0,0,0,0,0,0,H,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0
91,H,It provides a little more detailed information rather than having to figure it out through bubbles like in passage one.,0,0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0,0
93,Neither,I personally don't find either of them helpful for my academic learning but I think some people will find one or the other helpful for learning,,,,,,,,,,,,,,,,,,,,,,,0,
95,Both,"Although more difficult to follow in the beginning, Passage 1's format is easier to summarize and probably will be easier to use when studying.",0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0
99,H,"Its more of a structured natural listing of information, where you can read and digest it the other one breaks information into too finite of a form where its difficult to digest and recall and can be difficult and confusing to leap between subjects",0,0,0,0,0,0,0,0,0,0,0,0,H,0,H,H,H,0,0,0,0,0,0,0
101,Both,"For the Passage 1, how it is formatted might be better for data storing system. But it had two many pages to consider and it somehow made my eyes tired.",0,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,H,"Having to use links to go to another passage several times makes the information more confusing and less easily processed, since there is so much of it. With the second passage, although there was more writing in each individual bubble, it was clear and concise and made the information more easily read and condensed, and as a result made the information easier to process.",0,H,0,H,0,0,0,0,H,0,0,0,0,0,H,0,0,0,0,H,0,0,0,0
107,K,Passage 1 would be more helpful in showing the relationships between various complex concepts in a way that makes it easy to browse and digest the material quickly.,0,0,0,0,0,0,0,0,K,K,0,0,0,0,K,0,0,0,0,0,0,0,0,0
111,H,Passage 2 made me focus more and just finding the right answer rather than reading. Passage 1 made me read the information and internalize it more.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,K,concise clear,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
115,H,"I think the smaller amount of nodes with more content made the information more digestible for actually learning and retaining the information, rather than just quickly finding it.",0,0,0,0,0,0,0,H,0,0,0,0,H,0,H,H,0,0,0,0,0,0,0,0
119,K,"I think the second passage format was more helpful for academic learning purposes* because I found it easier to learn about the material by looking for specific concepts outlined on the first page then being able to zoom in on them through the other pages. *Correlating ""academic learning"" to being able to answer test questions. In terms of generally absorbing the material without looking for specific bits I thought both passages were helpful (I am biased though, because I also found both topics to be quite interesting to read about).",0,0,0,0,0,0,0,0,0,0,K,K,0,0,Both,0,0,0,K,0,0,0,0,0
121,H,"While more time consuming to read through longer paragraphs in passage 1, I felt like I could better recall the info when it was put together cohesively rather than broken up so much in passage 2.",0,0,0,0,K,0,0,0,0,0,0,0,H,0,H,H,0,0,0,0,0,0,0,0
123,H,"Since more information was in each node, I was able to read supporting details quicker. I may be able to find specific pieces of inormation faster in passage 1 if I got used to the style, but I felt like I understood a lot less, and it felt awkward.",0,0,0,0,H,0,0,H,0,0,H,0,0,H,0,0,H,0,0,0,0,0,0,0
125,Neither,"I think 1 is a bit difficult because it was hard to follow. It was good for picking out information that I needed to find, but I wouldn't learn much just from reading it. 2 had too long of passages that I wouldn't retain anything from. Generally, any sort of reading does not help me learning academically though.",,,,,,,,,,,,,,,,,,,,,,,0,
127,Both,"Both formats convey information in a summarized, easy to understand format (even though Passage 2 provides an easier to understand format).",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0
129,K,It was a lot easier to track the information because it was just small tidbits and you could identify the information quicker.,0,0,0,0,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0,0,0,0,0,0
131,Neither,"I've never had to do any kind of academic learning while working with either of these formats. Passage 2 was better for hunt-and-pecking the standardized test-style questions, but Passage 1 was way better for my knowledge retention. In general, though, I prefer reading unbroken prose. I could perhaps become used to Passage 1 with time.",0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,H,0,0,0,0,0,0,0,0
133,H,"The segments in Passage 1 are connected via their relationship to previous information, so starting from the beginning (leftmost) and working to the right allows for building upon the information from each previous segment.",0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,K,"I find passage 2 more helpful when the information is divided into chunks, it's easier to take in the information piece by piece. Passage 1 was too text-heavy and readers might lose the desire to read them at first glance, or can easily get lost in the passages.",0,0,0,0,0,0,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0,0,0,0
137,Both,"Passage 2 forced me to really think about the information I was trying to learn since it was presented in an unfamiliar way, so I probably ended up learning the information in the second passage better. The first format was still helpful to learn from.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0
139,H,As I said it is easier to look for specific information. All information were on the same page. And I felt there were more information and details provided in passage 1,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,H,0,0,0,0,0,0
141,K,"It really depends, but I'll go with passage 1. It's easier to have keywords and statements if you know what you're looking for, and it's more effective to memorize. Also it's easier to take notes for.",K,0,0,0,0,0,0,0,0,0,K,0,0,0,0,K,0,0,0,0,0,0,0,0
143,H,I like passage one because generally when I study I use concept maps that flow similar to the first one.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0
145,H,Passage two since it was easier to draw more information from.,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0
147,H,The second one would be helpful for making summaries for longer texts for later study but the first is too confusing and I would probably forget the information and flow of the text when revisiting it.,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,H,0,0,0,0,0,0,0,0
149,H,"I think passage 2 was easier to read, which made it better for academic learning. Passage 1 was helpful under the time constraints, because I could just look for key words more easily. However, I think I remembered more by reading the second format, so it was more helpful for long-term retention of the material.",K,0,0,0,K,0,0,0,0,0,0,0,0,0,0,H,0,0,0,H,0,0,0,0
151,K,"I think Passage 2's format was easier to take in and absorb quickly, though some of the knowledge was harder to recall because there was so much and so much variety to it. Despite this, Passage 2 is easier to understand and I could see it applying to my academic learning well.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,H,"Same reason as the answer to the last question, but also because it's easier to remember key information with more surrounding context.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0
159,K,"The connections between passage 2 made it so that the information was in smaller chunks and easier to remember where I had read it before. With the first passage, I vaguely remembered where and would have to skim through the entire passage to find it while in passage 2 I remembered more easily where to look just to double check.",0,0,0,0,0,0,0,0,0,K,K,0,K,0,0,K,0,0,0,0,0,0,0,0
161,H,"I would say the second passage if I had to choose from the two options given. However, I would actually prefer if the first passage format was more vertical rather than horizontal like in the second passage.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
163,H,The content is more comprehensive in Passage2.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
165,Both,"I was able to understand the both formats, it was just easier to get important information from the second one better than the first.",0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0
167,H,"It was easier to read and absorb. The second one being shorter and bouncing around made it hard to remember everything. However, I did like the vertical format compared to horizontal on a laptop.",0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0
169,K,,,,,,,,,,,,,,,,,,,,,,,,0,
171,K,,,,,,,,,,,,,,,,,,,,,,,,0,
173,K,There are smaller chunks of information on each map.,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0
175,Both,"while passage 1 offers easier information to skim over, passage 2 provided details that were much harder to display in a tree like passage 1",0,0,0,0,0,K,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0
177,Both,"Because both passages exist in real life and in academic learning as a whole. I will not only find short, easy to read passages all the time. So, it is better to get used to both.",0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,Both,0,0,0
179,K,Allowed me to condense the information into lots of small facts which are easier for me to remember than a full story.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,K,0,0,0,0,0,0,0,0
181,Neither,"For academic learning I prefer shorter notes that are easier to follow along, using short and simple formats of notes is easier to access and follow along to.",,,,,,,,,,,,,,,,,,,,,,,0,
183,Both,"I think either format is fine for searching information, although the second passage does require more time and effort.",0,0,0,K,K,0,0,0,0,0,Both,0,0,0,0,0,0,0,0,0,0,0,0,0
185,H,"Passage 1 allowed me to view the components of the passage in a logical order, while still grouping the components together in such a way that I could easily synthesize them. I liked that each component was written in a paragraph that I could easily read while still breaking up large walls of text that would be encountered in a traditional textbook reading.",0,0,0,0,0,0,0,H,0,0,0,0,H,0,H,0,H,0,0,H,0,0,0,0
189,K,"It doesn't condense everything into one big word blob, making it a bit easier to read everything.",0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,K,0,0,0,0
191,Both,"Both passages get the meaning across if I spend enough time on it. And the initial lack of clarity in passage 1 allows me to spend more time understanding its logic, which may help me remember it better.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Both,0,0,0
193,K,"It was easier with less information coming at me at once; it was more condensed and broken down rather than a huge paragraph all at once. It can get overwhelming when there is a lot of information at once rather than breaking the information and concepts down, step by step.",0,0,0,K,0,0,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0,0,0,0
195,Both,I liked passage 1 because it was on one screen. I liked passage 2 because it was much more concise.,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0
197,H,Passage 2 contained much more information in the paragraphs whereas passage 1 was similar to summarized/concise bullet points in which you had to draw connections yourself.,0,0,0,0,0,0,0,H,0,H,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,H,Passage 2 was overall easier to read and comprehend,0,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,H,0,0,0,0
201,K,"If I was looking for a quick answer, I'd look through Passage 1. Once I got through all of it, it was pretty easy to find the information I needed. It's also more appealing than the block text.",0,0,0,0,0,0,0,0,0,0,K,0,K,0,0,0,0,0,0,0,0,0,0,0
203,K,Passage 1 was easier to learn from because it was easier to read and understand in a short period of time.,0,0,0,0,K,0,0,0,0,0,0,0,0,K,0,0,0,0,0,K,0,0,0,0
205,K,Broke down passages in a way that was easy to understand and process compared to paragraphs,0,0,0,0,0,0,0,0,0,0,0,0,K,K,0,0,0,0,0,0,0,0,0,0
209,Neither,- Passage 1: each node includes many words in one small box --> difficult to read through. - Passage 2: may have to go back and forth to read specific information --> may forget what I just read,,,,,,,,,,,,,,,,,,,,,,,0,
213,H,The passage 2's structure is too complicated.,0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,0,0
215,H,Passage 1 links passages together and explains their relationship to one another. Passage 2 is harder to read because the phrases are broken up.,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,H,0,0,0,0
217,Both,"First passage is helping us to train our ability to extract the logic line, second one is helping us understand the content quicker.",0,0,0,0,K,0,0,0,0,H,H,0,0,K,0,0,0,0,0,0,0,0,0,0
219,K,The passage's logic is more clear.,0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0
225,H,more academic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,Both,the first format could be used as transition to the second format. The second format require a minimum of analyzing skills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,K
17,Both,"I think they would be good at different aspects of learning. Passage 2 would probably be better to begin with because the connections are more clearly laid out and it was more descriptive, but Passage 1's format would be significantly more helpful as a summary or review of content already learned.",0,0,0,0,0,0,0,0,0,0,0,0,H,0,0,0,0,0,0,0,0,0,H,K
35,K,"I think that passage 1 was more suited for academic learning, because the information was laid out in pieces rather than in paragraph form. In comparison, passage 2 was better suited for answering multiple choice questions. I think that passage 1 would be more helpful for learning each of the concepts in a way that was better than the second passage.",0,0,0,0,0,0,0,0,0,0,0,0,K,0,0,0,0,0,0,0,0,0,0,0
37,K,"Passage 2 is better for initial research, comperable to using an encyclopedia or reference work.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,0
47,Both,"I think it depends on what the end goal is, if someone wants a quick crash-course overview on a subject, then the first passage definitely helps, but if the goal is to have a deeper understanding, I think I'll go with the second option",0,0,0,0,0,0,0,0,0,0,0,K,0,H,0,0,0,0,0,0,0,0,0,0
75,K,Good note if I carefully read the paragraph before.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,H,K
115,Both,"I would argue that both are helpful for academic learning. The second passage is good at providing the concepts, and main points of the article or information. The first passage is good at providing context and relevant details that help to fill in the entire concept.",0,0,0,0,0,0,0,0,0,H,0,K,0,0,0,0,0,0,0,0,0,0,0,0
157,Both,"If I had to remember a lot of new vocabulary or scientific language or specific mechanisms, I'd prefer passage 1. But if I had to get a broad overview of different mechanisms and relations, I'd use passage 2.",0,0,0,0,0,0,0,0,0,H,0,H,0,0,0,K,0,0,0,0,0,0,0,0
207,Both,I think passage 1 is nice to divide more specific information out and organize it but passage 2 is good for having a more general overview of a subject.,0,0,0,0,0,0,0,0,0,0,0,K,H,0,0,0,0,0,0,0,0,0,0,0